cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
29843 : 1.93301   : 0.574975  >> 0.574975
98837 : 1.91725   : 0.566994  >> 0.566994
80751 : 1.91174   : 0.540218  >> 0.540218
1858 : 1.8947   : 0.605889  >> 0.605889
24301 : 1.89122   : 0.691975  >> 0.691975
62948 : 1.86773   : 0.594467  >> 0.594467
92523 : 1.86562   : 0.73664  >> 0.73664
__________________
81397 : 1.62125   : 0.437621  >> 0.437621
67739 : 1.61467   : 0.450471  >> 0.450471
68238 : 1.61158   : 0.419001  >> 0.419001
29843 : 1.61102   : 0.387907  >> 0.387907
98837 : 1.60964   : 0.442799  >> 0.442799
80751 : 1.59966   : 0.435012  >> 0.435012
24301 : 1.58765   : 0.533865  >> 0.533865
1858 : 1.58357   : 0.482255  >> 0.482255
62948 : 1.57297   : 0.560922  >> 0.560922
92523 : 1.54358   : 0.570987  >> 0.570987
__________________
48879 : 1.89996   : 0.622593  >> 0.622593
67739 : 1.89916   : 0.645968  >> 0.645968
52321 : 1.89844   : 0.671906  >> 0.671906
29843 : 1.89086   : 0.701785  >> 0.701785
98837 : 1.86765   : 0.688672  >> 0.688672
80751 : 1.86723   : 0.696892  >> 0.696892
1858 : 1.84524   : 0.758033  >> 0.758033
24301 : 1.83852   : 0.811782  >> 0.811782
92523 : 1.81784   : 0.842084  >> 0.842084
62948 : 1.81015   : 0.754994  >> 0.754994
__________________
52321 : 1.95842   : 0.698506  >> 0.698506
48879 : 1.95747   : 0.622579  >> 0.622579
29843 : 1.95701   : 0.760996  >> 0.760996
98208 : 1.95067   : 0.739737  >> 0.739737
98837 : 1.93482   : 0.711451  >> 0.711451
80751 : 1.92201   : 0.680316  >> 0.680316
1858 : 1.91315   : 0.708253  >> 0.708253
24301 : 1.90709   : 0.868747  >> 0.868747
92523 : 1.88727   : 0.860813  >> 0.860813
62948 : 1.87261   : 0.717821  >> 0.717821
__________________
68238 : 1.9061   : 0.624421  >> 0.624421
52321 : 1.90399   : 0.592554  >> 0.592554
67739 : 1.90322   : 0.546532  >> 0.546532
29843 : 1.89707   : 0.615213  >> 0.615213
98837 : 1.88256   : 0.600209  >> 0.600209
80751 : 1.87708   : 0.53811  >> 0.53811
24301 : 1.8571   : 0.725756  >> 0.725756
1858 : 1.85552   : 0.658201  >> 0.658201
92523 : 1.8334   : 0.709852  >> 0.709852
62948 : 1.82466   : 0.603985  >> 0.603985
__________________
67739 : 1.45803   : 0.442825  >> 0.442825
29843 : 1.45796   : 0.538116  >> 0.538116
98837 : 1.45747   : 0.460482  >> 0.460482
86840 : 1.45531   : 0.467847  >> 0.467847
81397 : 1.45273   : 0.384966  >> 0.384966
24301 : 1.44306   : 0.573019  >> 0.573019
1858 : 1.43465   : 0.396652  >> 0.396652
80751 : 1.43029   : 0.375981  >> 0.375981
62948 : 1.41525   : 0.594477  >> 0.594477
92523 : 1.391   : 0.596392  >> 0.596392
__________________
52321 : 1.56031   : 0.733544  >> 0.733544
48879 : 1.54893   : 0.6685  >> 0.6685
98208 : 1.54773   : 0.72731  >> 0.72731
29843 : 1.53996   : 0.754987  >> 0.754987
98837 : 1.53843   : 0.751974  >> 0.751974
80751 : 1.53477   : 0.73199  >> 0.73199
24301 : 1.51651   : 0.868756  >> 0.868756
1858 : 1.51123   : 0.82982  >> 0.82982
92523 : 1.5037   : 0.858172  >> 0.858172
62948 : 1.48057   : 0.68534  >> 0.68534
__________________
81397 : 1.85587   : 0.578927  >> 0.578927
67739 : 1.85357   : 0.491619  >> 0.491619
86840 : 1.84729   : 0.514271  >> 0.514271
29843 : 1.83398   : 0.586754  >> 0.586754
98837 : 1.82697   : 0.582857  >> 0.582857
80751 : 1.82259   : 0.62258  >> 0.62258
1858 : 1.81481   : 0.605893  >> 0.605893
24301 : 1.79734   : 0.698539  >> 0.698539
62948 : 1.78236   : 0.65644  >> 0.65644
92523 : 1.7643   : 0.751959  >> 0.751959
__________________
86840 : 1.92242   : 0.596392  >> 0.596392
98208 : 1.92204   : 0.620758  >> 0.620758
48879 : 1.91791   : 0.52958  >> 0.52958
29843 : 1.91045   : 0.690312  >> 0.690312
